Date,GLD,HYG,IEF,IWM,LQD,QQQ,SPY,TLT,USO,XLF
2021-11-29,166.6199951171875,67.66886901855469,101.4996337890625,210.77911376953125,112.16893768310547,389.24188232421875,437.9355773925781,128.92237854003906,50.16999816894531,36.12569046020508
2021-11-30,165.5,67.38561248779297,102.10802459716797,206.4822540283203,112.41388702392578,383.5252990722656,429.4144592285156,130.8822784423828,47.90999984741211,35.26179504394531
2021-12-01,166.16000366210938,67.39509582519531,102.30039978027344,201.83534240722656,112.42997741699219,377.00042724609375,424.6448669433594,131.68963623046875,47.040000915527344,34.87165451049805
2021-12-02,165.24000549316406,67.89244842529297,102.07978820800781,207.46658325195312,112.69232177734375,379.7174987792969,431.14886474609375,131.85391235351562,48.290000915527344,35.91204833984375
2021-12-03,166.6300048828125,67.89244842529297,102.67987060546875,203.20767211914062,113.63180541992188,373.1147766113281,427.3972473144531,133.4272003173828,48.0,35.32682418823242
2021-12-06,166.22000122070312,68.19245147705078,102.16804504394531,207.28677368164062,113.0562744140625,376.1044616699219,432.45904541015625,131.59461975097656,50.5099983215332,35.86559295654297
2021-12-07,166.80999755859375,68.55558776855469,101.7797622680664,212.09466552734375,113.10704803466797,387.4305114746094,441.40435791015625,130.53131103515625,51.59000015258789,36.50654983520508
2021-12-08,166.89999389648438,68.53981018066406,101.45326232910156,213.54266357421875,112.35379028320312,389.1639099121094,442.57318115234375,128.27508544921875,52.41999816894531,36.31147766113281
2021-12-09,165.8800048828125,68.23191833496094,101.70919036865234,208.70639038085938,112.26068115234375,383.43768310546875,439.585205078125,128.9926300048828,51.02000045776367,36.237159729003906
2021-12-10,166.5800018310547,68.38983154296875,101.7797622680664,208.12908935546875,112.38762664794922,387.6058654785156,443.72314453125,128.6813507080078,52.029998779296875,36.27431869506836
2021-12-13,167.0,68.38983154296875,102.26512908935547,205.08750915527344,112.89545440673828,382.00616455078125,439.79254150390625,130.58322143554688,51.439998626708984,35.88417434692383
2021-12-14,165.44000244140625,68.2713623046875,102.0886459350586,203.3218231201172,112.38762664794922,378.05224609375,436.7667541503906,130.27197265625,50.91999816894531,36.09782409667969
2021-12-15,166.14999389648438,68.53187561035156,101.9385986328125,206.54946899414062,112.53153228759766,386.6709289550781,443.5912170410156,129.0185089111328,51.619998931884766,36.200008392333984
2021-12-16,168.16000366210938,68.481201171875,102.2353744506836,202.37252807617188,112.52812194824219,376.72784423828125,439.67938232421875,129.06871032714844,51.869998931884766,36.655174255371094
2021-12-17,167.8000030517578,68.41781616210938,102.46502685546875,204.23316955566406,112.791015625,374.84814453125,434.9999694824219,130.53126525878906,50.779998779296875,35.84701919555664
2021-12-20,167.08999633789062,68.29901123046875,102.37673950195312,201.3662567138672,112.29920196533203,371.21209716796875,430.37445068359375,129.55337524414062,49.900001525878906,35.150726318359375
2021-12-21,167.02000427246094,68.66339874267578,101.97040557861328,207.11900329589844,112.51966857910156,379.5199890136719,438.0174560546875,129.06005859375,51.56999969482422,35.878746032714844
2021-12-22,168.58999633789062,68.8456039428711,102.06756591796875,209.11257934570312,112.6977310180664,384.14190673828125,442.3970031738281,129.65719604492188,52.47999954223633,36.0467529296875
2021-12-23,168.97000122070312,69.04364776611328,101.8555908203125,210.78334045410156,112.52812194824219,387.03802490234375,445.1497497558594,128.5321807861328,53.130001068115234,36.23343276977539
2021-12-27,169.3699951171875,69.11493682861328,101.89090728759766,212.75790405273438,112.8588638305664,393.4346923828125,451.4494323730469,128.84375,54.52000045776367,36.606773376464844
2021-12-28,168.63999938964844,69.08323669433594,101.87324523925781,211.4573516845703,112.71471405029297,391.6111755371094,451.08062744140625,128.3330841064453,54.66999816894531,36.62544250488281
2021-12-29,168.58999633789062,68.97229766845703,101.35214233398438,211.68521118164062,112.0956802368164,391.5527648925781,451.6575622558594,126.93111419677734,55.08000183105469,36.57877731323242
2021-12-30,169.8000030517578,68.94064331054688,101.68777465820312,211.6282196044922,112.54512023925781,390.38262939453125,450.4089660644531,127.99559020996094,55.099998474121094,36.5134391784668
2021-12-31,170.9600067138672,68.92481231689453,101.57294464111328,211.17259216308594,112.37552642822266,387.9447937011719,449.27386474609375,128.24658203125,54.36000061035156,36.44810485839844
2022-01-03,168.3300018310547,68.89311981201172,100.62788391113281,213.89706420898438,111.17984008789062,391.6794738769531,451.8751525878906,124.88011169433594,54.83000183105469,36.896121978759766
2022-01-04,169.57000732421875,68.71882629394531,100.57489013671875,213.57431030273438,111.27312469482422,386.59918212890625,451.7237854003906,124.36083221435547,55.59000015258789,37.86683654785156
2022-01-05,169.05999755859375,68.18807983398438,100.15093994140625,206.34060668945312,110.62014770507812,374.7224426269531,443.0497741699219,123.6858139038086,55.43000030517578,37.42814254760742
2022-01-06,166.99000549316406,68.19601440429688,99.90360260009766,207.51776123046875,110.47603607177734,374.4590759277344,442.6335144042969,124.00602722167969,56.88999938964844,37.97883605957031
2022-01-07,167.75,68.0217514038086,99.57681274414062,205.11602783203125,110.00117492675781,370.40264892578125,440.8835754394531,123.1146240234375,56.66999816894531,38.426849365234375
2022-01-10,168.25999450683594,68.07718658447266,99.55032348632812,204.40402221679688,109.8993911743164,370.6465148925781,440.3349304199219,123.41753387451172,56.15999984741211,38.29617691040039
2022-01-11,170.2899932861328,68.39403533935547,99.788818359375,206.5779571533203,110.2301025390625,376.21429443359375,444.3456115722656,124.2396469116211,58.15999984741211,38.63219451904297
2022-01-12,170.74000549316406,68.50494384765625,99.80648040771484,205.0400848388672,110.15377807617188,377.7062072753906,445.5469665527344,123.76373291015625,58.90999984741211,38.660194396972656
2022-01-13,170.16000366210938,68.25940704345703,100.12444305419922,203.16043090820312,110.50147247314453,368.25750732421875,439.4079284667969,124.8627700805664,58.27000045776367,38.5108528137207
2022-01-14,169.6699981689453,68.19601440429688,99.43553161621094,203.4452362060547,109.52627563476562,370.54901123046875,439.5876159667969,122.97618865966797,59.970001220703125,38.1095085144043
2022-01-18,169.38999938964844,67.86332702636719,98.68476104736328,197.29373168945312,108.48323822021484,361.324462890625,431.80267333984375,121.24535369873047,60.970001220703125,37.26013946533203
2022-01-19,172.0800018310547,67.79995727539062,98.9232177734375,194.08511352539062,108.65286254882812,357.3558349609375,427.3191223144531,122.08482360839844,61.04999923706055,36.63478469848633
2022-01-20,171.64999389648438,67.6731948852539,99.13519287109375,190.57266235351562,108.5934829711914,352.7143249511719,422.5895080566406,122.83770751953125,60.65999984741211,36.40143585205078
2022-01-21,171.08999633789062,67.68113708496094,99.70930480957031,187.0032958984375,109.30577087402344,342.9340515136719,414.2937927246094,124.30025482177734,60.779998779296875,35.65474319458008
2022-01-24,172.02999877929688,67.60982513427734,99.62100219726562,191.31314086914062,108.96658325195312,344.50396728515625,416.05316162109375,123.27909088134766,60.11000061035156,35.757415771484375
2022-01-25,172.5800018310547,67.41180419921875,99.48848724365234,188.75950622558594,108.66132354736328,336.5178527832031,410.97357177734375,123.08003234863281,60.970001220703125,35.90675735473633
2022-01-26,169.7899932861328,67.18209075927734,98.78190612792969,186.03501892089844,107.92356872558594,335.99139404296875,409.9425354003906,121.59149169921875,61.68000030517578,36.000091552734375
2022-01-27,167.60000610351562,66.88899230957031,99.19702911376953,181.81060791015625,108.16950225830078,332.607666015625,407.9183044433594,123.82428741455078,61.86000061035156,35.67341232299805
