Date,GLD,HYG,IWM,LQD,QQQ,SPY,TLT,USO,XLE,XLF,XLK,XLV
2018-02-23,126.13999938964844,56.557682037353516,139.20375061035156,88.3266372680664,159.59814453125,242.45068359375,94.55658721923828,102.16000366210938,24.274824142456055,25.03873062133789,31.55017852783203,74.52450561523438
2018-02-26,126.44999694824219,56.65591049194336,140.1168975830078,88.43968963623047,161.7144775390625,245.2660675048828,94.58861541748047,102.87999725341797,24.419479370117188,25.41705894470215,32.04452133178711,75.46772766113281
2018-02-27,125.12999725341797,56.50531768798828,138.100830078125,88.05533599853516,159.71209716796875,242.20358276367188,94.45254516601562,101.19999694824219,24.10193634033203,25.176305770874023,31.721113204956055,74.68170928955078
2018-02-28,125.0,56.42021179199219,135.92214965820312,88.2211685180664,158.68714904785156,239.75003051757812,95.05289459228516,98.95999908447266,23.547988891601562,24.82376480102539,31.49473762512207,73.48519134521484
2018-03-01,124.72000122070312,56.046234130859375,135.560546875,88.13040924072266,156.0962371826172,236.26390075683594,95.70171356201172,98.80000305175781,23.51270294189453,24.393844604492188,30.972673416137695,72.31488800048828
2018-03-02,125.38999938964844,56.361717224121094,137.73020935058594,87.85087585449219,157.52926635742188,237.48178100585938,94.92369842529297,98.95999908447266,23.62207794189453,24.454030990600586,31.26834487915039,73.04850769042969
2018-03-05,125.18000030517578,56.361717224121094,138.9596710205078,87.82058715820312,159.27548217773438,240.22662353515625,94.66706085205078,100.72000122070312,23.87259864807129,24.797971725463867,31.587139129638672,73.71227264404297
2018-03-06,126.52999877929688,56.44059371948242,140.4604034423828,87.89615631103516,159.94927978515625,240.83558654785156,94.75529479980469,100.55999755859375,23.886703491210938,24.901155471801758,31.656436920166016,73.60745239257812
2018-03-07,125.72000122070312,56.30256652832031,141.6989288330078,87.86593627929688,160.3194122314453,240.74737548828125,94.65106201171875,98.80000305175781,23.70676040649414,24.858158111572266,31.831995010375977,73.9830093383789
2018-03-08,125.41999816894531,56.36830520629883,141.40965270996094,88.03976440429688,161.20204162597656,241.91229248046875,95.19644165039062,97.19999694824219,23.6997013092041,24.935548782348633,31.970598220825195,74.4808349609375
2018-03-09,125.54000091552734,56.57202911376953,143.6697540283203,87.72989654541016,164.33384704589844,246.12216186523438,94.57084655761719,99.76000213623047,24.15132713317871,25.537437438964844,32.57582473754883,75.55506896972656
2018-03-12,125.54000091552734,56.48001480102539,143.92286682128906,87.8432846069336,165.20692443847656,245.8131866455078,95.11625671386719,98.95999908447266,24.144269943237305,25.45145606994629,32.677467346191406,75.23193359375
2018-03-13,125.77999877929688,56.30256652832031,143.25387573242188,87.85087585449219,162.95773315429688,244.22471618652344,95.59749603271484,97.91999816894531,23.971385955810547,25.167709350585938,32.30323028564453,75.32799530029297
2018-03-14,125.69999694824219,56.2368049621582,142.57583618164062,88.04734802246094,162.92926025390625,242.971435546875,96.43965148925781,98.23999786376953,23.830245971679688,24.883956909179688,32.27552795410156,74.9612045288086
2018-03-15,124.9000015258789,56.27629852294922,141.86160278320312,88.13800048828125,162.78688049316406,242.70663452148438,96.43965148925781,98.72000122070312,23.70676040649414,24.892553329467773,32.29400634765625,74.83892822265625
2018-03-16,124.5999984741211,56.394596099853516,142.65719604492188,88.23624420166016,162.30284118652344,242.9698028564453,96.09475708007812,100.4000015258789,23.918195724487305,24.914134979248047,32.260650634765625,74.83892059326172
2018-03-19,124.87000274658203,56.164520263671875,141.28306579589844,87.94149017333984,158.83995056152344,239.682373046875,95.78996276855469,100.4000015258789,23.54863929748535,24.7329044342041,31.621070861816406,73.62944793701172
2018-03-20,124.30999755859375,56.27629852294922,141.24688720703125,87.63170623779297,159.36277770996094,240.08998107910156,95.40499114990234,102.4800033569336,23.74762535095215,24.793310165405273,31.60715675354004,73.73460388183594
2018-03-21,126.4800033569336,56.29597473144531,142.069580078125,87.57876586914062,158.66885375976562,239.62916564941406,95.50927734375,105.44000244140625,24.36948013305664,24.784683227539062,31.41716766357422,73.4190902709961
2018-03-22,125.9800033569336,55.9608039855957,138.95433044433594,87.72989654541016,154.7525177001953,233.6390838623047,96.45571899414062,103.5999984741211,23.871992111206055,23.86992645263672,30.606122970581055,71.30686950683594
2018-03-23,127.61000061035156,55.816162109375,135.96412658691406,87.45030975341797,150.67457580566406,228.65921020507812,96.38352966308594,106.23999786376953,23.726299285888672,23.14502716064453,29.790456771850586,69.82569122314453
2018-03-26,128.27999877929688,56.17766571044922,138.93621826171875,87.76018524169922,156.27342224121094,234.9151153564453,96.01456451416016,105.68000030517578,24.15272331237793,23.895814895629883,30.9212646484375,71.27180480957031
2018-03-27,127.48999786376953,56.125091552734375,136.24501037597656,88.07756805419922,151.21641540527344,230.91879272460938,97.04117584228516,104.63999938964844,23.925296783447266,23.429811477661133,29.929489135742188,70.43043518066406
2018-03-28,125.7300033569336,56.098793029785156,136.19970703125,88.31185150146484,149.47686767578125,230.23648071289062,97.29785919189453,104.31999969482422,23.459802627563477,23.472957611083984,29.730209350585938,70.80730438232422
2018-03-29,125.79000091552734,56.289432525634766,137.57701110839844,88.71232604980469,152.21446228027344,233.17840576171875,97.77107238769531,104.72000122070312,23.953731536865234,23.79226303100586,30.318782806396484,71.34192657470703
2018-04-02,127.26000213623047,56.070960998535156,134.2243194580078,88.66461181640625,147.8228759765625,228.14527893066406,97.9639892578125,101.91999816894531,23.474010467529297,23.265844345092773,29.595802307128906,69.72053527832031
2018-04-03,126.30000305175781,56.22937774658203,136.1453399658203,88.42962646484375,149.4863739013672,231.0694580078125,97.20842742919922,102.4800033569336,23.975055694580078,23.58514404296875,29.887775421142578,70.78101348876953
2018-04-04,126.44999694824219,56.35475158691406,137.87603759765625,88.42962646484375,151.8437957763672,233.54165649414062,97.00750732421875,102.55999755859375,23.94306182861328,23.83540916442871,30.304885864257812,71.7889175415039
